Follow-up ID,Parent ID,HMG Contact,Referral Date,Referral,Notes,Why Follow-up,Follow-up Date,Done,Result,Child ID
20,1112,RobinL,2010-03-17,BYU Comprehensive Clinic 801-422-7759,,Connected?,2010-03-24,1,Left Message,
21,1112,RobinL,2010-03-17,Other,UVRMC Hearing Screening Program-LM re imptc of hearing screening esp as child get older.,Connected?,2010-03-24,1,Left Message,
22,1118,RobinL,2010-03-17,Mountainland Community Health  801-429-2000 (Lori Wright),called for f/u - left message,Connected?,2010-03-24,1,No response from family,
26,1119,RobinL,2010-04-19,LDS Family Services  801-422-7620,Requests child counseling in Orem for 6yo and 2yo re:divorce.,Connected?,2010-04-19,1,Complete,
47,1122,BarbaraL,2010-04-14,Audiologist Listing of Utah County,,Connected?,2010-04-24,1,Complete,
48,1124,,,SelecthealthMember Services 801-442-5038,,,,0,,
61,1133,,,Alpine House,,,,0,,
69,1119,RobinL,2010-04-22,Family Support and Treatment  801-229-1181,,Connected?,2010-05-01,1,Complete,
71,1142,RobinL,2010-04-22,Specialist,"No response from Ms. Charbot, Mr. Lindsay doing well mentally",Connected?,2010-04-15,1,Agency has not returned client’s call,
72,1142,RobinL,2010-04-22,Department of Workforce Services,"Began job as NA this week, going well so far.",Connected?,2010-05-01,1,Complete,
76,1121,RobinL,2010-04-27,Social Worker,Home Visitor/Social Worker801-850-3059 Cell-see Welcome Baby notes for progress on HV,Verify Improvement,2010-05-15,1,Information received by client,
77,1130,StephanieI,2010-06-08,Informational resources,"parenting class list. Claudia also expressed some interest in having someone check on her client frequently once the baby came, so a referral was made to Welcome Baby.",Connected?,2010-06-08,1,Information received by client,
80,1155,RobinL,2010-04-27,Informational resources,"parenting clases; Need to talk more about the situation and what kind of parenting classes may be needed.  Mother is 16, caller is 17 (I believe it is the father).  Was ordered by a judge to take a parenting class",Connected?,2010-04-28,1,Information received by client,
95,1130,StephanieI,2010-04-29,Informational resources,Called back because none of the classes on the list worked and was wondering if we have found any more.  Will call back with any other ideas that we have.,Connected?,2010-04-30,1,Information received by client,
101,1124,,2010-04-30,lunch to meet Leeann Whiffen,"CHIP # given, was told family would qualify by Health Resource Line.  Heather will meet Leeann/Robin for lunch May 7 to connect autism services.",,2010-05-03,1,,
110,1117,DeborahW,2010-04-10,Welcome Baby UWAY 801-691-5320,,Connected?,2010-05-06,1,Received service,
111,1117,DeborahW,2010-05-06,American Pediatric Website,review usefulness of AAP website; do ASQ 18mos,Connected?,2010-07-06,1,Information received by client,
120,1142,RobinL,2010-04-22,Department of Workforce Services,Help with medicaid application,Connected?,2010-05-13,1,Received service,
130,1131,BarbaraL,2010-04-15,Informational resources,Mom found out that she can get ASQ from Dr. office and will fu both children there. No further needs at this time.,Connected?,2010-04-15,1,Education through HMG,
133,1112,RobinL,2010-05-10,Interoffice,Called 2x and never returned calls-RobinL,Still interested?,2010-05-10,1,No response from family,
