Referral ID,Referral
14,Informational resources
15,Pregnancy Resource Center  801-221-2591
16,Baby Your Baby  801-851-7033
25,LDS Employment  801-818-6161
27,Deseret Industries  801-373-7920
28,Informational resources
31,Welcome Baby UWAY 801-691-5320
32,Family Support and Treatment  801-229-1181
34,Other
35,Website
36,Alpine School District 801-756-8400
37,BYU Comprehensive Clinic 801-422-7759
38,Parents as Teachers (PAT)
42,Website
43,Informational resources
44,Welcome Baby UWAY 801-691-5320
60,Health Resource Line  1-888-222-2542
62,Welcome Baby Health Department  801-851-7059
68,Pregnancy Resource Center  801-221-2591
73,Community Action Food Bank  801-373-8200
75,Specialist
97,Healthcare Provider
98,Healthcare Provider
99,Tri Connections  801-343-3900
102,Division of Services for People with Disabilities  801-343-3900 (Dave Hennessey)
107,Division of Services for People with Disabilities  801-343-3900 (Dave Hennessey)
114,Autism Council of Utah  801-913-6203
119,NAMI
139,Social Security  800-772-1213
149,"Utah Parent Center 801 272 1051, 800 468 1160"
170,Informational resources
175,Division of Services for People with Disabilities  801-343-3900 (Dave Hennessey)
191,Informational resources
199,Division of Services for People with Disabilities  801-343-3900 (Dave Hennessey)
203,Informational resources
205,Informational resources
206,BYU Comprehensive Clinic 801-422-7759
209,Family Support and Treatment  801-229-1181
216,Website
219,Audiologist Listing of Utah County
223,Nebo School District  801-354-7400
224,Autism Council of Utah  801-913-6203
225,Website
253,Interoffice
254,Division of Services for People with Disabilities  801-343-3900 (Dave Hennessey)
255,Division of Services for People with Disabilities  801-343-3900 (Dave Hennessey)
302,BYU Comprehensive Clinic 801-422-7759
324,Kindergarten Readiness Materials.
328,Community Action Food Bank  801-373-8200
329,Wasatch Mental Health  801-373-4760 (Adult services) 801-377-1213 (Children services)
330,Division of Services for People with Disabilities  801-343-3900 (Dave Hennessey)
336,Healthcare Provider
350,Informational resources
360,Informational resources
400,CHIP  801-342-2600 (DWS)
408,BYU Comprehensive Clinic 801-422-7759
449,Pregnancy Resource Center  801-221-2591
450,Center for Women and Children in Crisis (CWCIC)
453,Health Resource Line  1-888-222-2542
455,Division of Services for People with Disabilities  801-343-3900 (Dave Hennessey)
460,"Turning Point  801-863-7580 (childcare, GED)"
467,Healthcare Provider
469,Informational resources
498,LDS Family Services  801-422-7620
501,Kids Who Count 801-423-3000 (Liz)
506,Informational resources
516,Other
541,Website
542,Website
552,Informational resources
556,Provo School District  801-374-4840
557,Childcare Resource and Referal  801-863-8220 (Julia)
570,Nebo School District  801-354-7400
571,Autism Council of Utah  801-913-6203
573,Informational resources
579,Community Health Connect  801-818-3015
588,Informational resources
589,Alpine School District 801-756-8400
591,Specialist
592,Deseret Industries  801-373-7920
593,Welcome Baby UWAY 801-691-5320
595,Informational resources
596,Informational resources
605,Wasatch Mental Health  801-373-4760 (Adult services) 801-377-1213 (Children services)
617,The Green House Center for Change and Learning
618,Nebo School District  801-354-7400
619,BYU Comprehensive Clinic 801-422-7759
636,Community Action Food Bank  801-373-8200
637,Nebo School District  801-354-7400
644,BYU Comprehensive Clinic 801-422-7759
645,BYU Law Help  801-422-3025
646,Community Action Food Bank  801-373-8200
647,Community Action Food Bank  801-373-8200
648,Wasatch Mental Health  801-373-4760 (Adult services) 801-377-1213 (Children services)
655,Informational resources
660,Childcare Resource and Referal  801-863-8220 (Julia)
674,Social Security  800-772-1213
678,Social Worker
684,Website
691,Community Action Food Bank  801-373-8200
692,Utah Legal Services (800) 662-4245
695,Institute for Cognitive Therapy
697,Informational resources
698,Informational resources
701,Childcare Resource and Referal  801-863-8220 (Julia)
705,Division of Services for People with Disabilities  801-343-3900 (Dave Hennessey)
709,Center for Women and Children in Crisis (CWCIC)
718,BYU Law Help  801-422-3025
726,Division of Services for People with Disabilities  801-343-3900 (Dave Hennessey)
727,BYU Comprehensive Clinic 801-422-7759
734,BYU Comprehensive Clinic 801-422-7759
748,Utah Legal Services (800) 662-4245
751,Department of Workforce Services
754,Audiologist Listing of Utah County
764,Informational resources
778,Friday Kid's Respite  801-494-9837
783,"Utah Parent Center 801 272 1051, 800 468 1160"
784,Division of Services for People with Disabilities  801-343-3900 (Dave Hennessey)
785,Health Resource Line  1-888-222-2542
790,BYU Comprehensive Clinic 801-422-7759
791,Department of Workforce Services
792,Courage Reigns  801-362-0082 (Vicki Armstrong)
797,Informational resources
816,Specialist
817,BYU Comprehensive Clinic 801-422-7759
825,Informational resources
826,Center for Women and Children in Crisis (CWCIC)
827,BYU Comprehensive Clinic 801-422-7759
828,Community Action Food Bank  801-373-8200
834,Division of Services for People with Disabilities  801-343-3900 (Dave Hennessey)
837,BYU Law Help  801-422-3025
844,Healthcare Provider
847,"Turning Point  801-863-7580 (childcare, GED)"
858,Informational resources
868,Provo School District  801-374-4840
888,Healthcare Provider
892,Specialist
898,Informational resources
912,Welcome Baby UWAY 801-691-5320
933,Healthcare Provider
935,Website
936,Other
953,CHIP  801-342-2600 (DWS)
961,Utah County Health Department  801-851-7000
966,"Utah Parent Center 801 272 1051, 800 468 1160"
970,Informational resources
971,WIC Provo 801-851-7300
972,Welcome Baby UWAY 801-691-5320
976,Pregnancy Resource Center  801-221-2591
977,Baby Your Baby  801-851-7033
978,Parent Mentor
984,Kids on the Move  801-221-9930 (Eileen Chamberlain)
987,UTA Bus
989,Informational resources
993,Parents as Teachers (PAT)
995,The Green House Center for Change and Learning
1008,Informational resources
1015,PEIP  801-852-4525 (Beri)
1016,Informational resources
1017,BYU Comprehensive Clinic 801-422-7759
1018,Nebo School District  801-354-7400
1024,Other
1028,Ability Found  801-261-5738 (Ernest Robinson)
1029,RAH! 801-374-8074
1036,Provo School District  801-374-4840
1049,Informational resources
1050,Vantage Point  801-373-2215
1052,Mountainland Community Health  801-429-2000 (Lori Wright)
1053,Community Health Connect  801-818-3015
1055,Pregnancy Resource Center  801-221-2591
1056,Easter Seals PLAY Project  801-536-7065
1059,Welcome Baby UWAY 801-691-5320
1064,Healthcare Provider
1071,Informational resources
1080,Paratransit  801-374-9306
1084,BYU Comprehensive Clinic 801-422-7759
1087,Specialist
1094,Informational resources
1100,Spanish Fork Library
1101,"USU Extension  801-851-8479, 800-662-4245"
1102,Family to Family Network
1104,Autism Council of Utah  801-913-6203
1105,Military Resources
1106,BYU Comprehensive Clinic 801-422-7759
1116,Other
1123,Welcome Baby UWAY 801-691-5320
1134,Informational resources
