id,type,name
,issues,Adaptive
,issues,Basic Need
,issues,Behavioral
,issues,Childcare
,issues,Cognitive (Learning)
,issues,Communication
,issues,Seeking diagnosis
,issues,Education
,issues,Family Issues
,issues,General Development
,issues,Health Insurance
,issues,Health/Medical
,issues,Hearing
,issues,Living Condition
,issues,Mental Health
,issues,Parenting Education
,issues,Social/Emotional
,issues,Vision
,issues,Other
,issues,Gross Motor
,issues,Fine Motor
,issues,Problem Solving
,issues,Speech/Language
,issues,Receptive language
,issues,Bonding/attachment
,issues,Developmental Screening
,issues,Autism Spectrum
,issues,No Concern
,issues,Prenatal
,issues,Program Information
,issues,Down Syndrome
