id,type,name
,referred_to,Utah County government department
,referred_to,Nursing homes or care centers
,referred_to,Alcoholics Anon
,referred_to,Alpine House  801-885-5982
,referred_to,East Shore High School (former Alpine Life & Learning)
,referred_to,American Cancer Society
,referred_to,American Red Cross  801-373-8580
,referred_to,Area Agency on Aging
,referred_to,Autism Society of Utah  www.autism-society.org
,referred_to,Boys and Girls Club  801-371-6242
,referred_to,BYU Comprehensive Clinic 801-422-7759
,referred_to,BYU Law Help  801-422-3025
,referred_to,Community Action Food Bank  801-373-8200
,referred_to,Center for Independent Living  801-373-5044
,referred_to,Centro Hispano  801-655-0258
,referred_to,Childcare Resource and Referal  801-863-8220 (Julia)
,referred_to,Children's Justice Center  801-851-8554
,referred_to,Community Health Connect  801-818-3015
,referred_to,Community Nursing Services  801-224-8138
,referred_to,AAA fair credit  801-483-0999
,referred_to,Crisis Line Utah County  801-226-4433
,referred_to,Department of Workforce Services
,referred_to,Utah Labor Commission
,referred_to,Deseret Industries  801-373-7920
,referred_to,Division of Child and Family Services  801-374-7257
,referred_to,Division of Substance Abuse
,referred_to,Epilepsy Association of Utah
,referred_to,The Family Center of Utah Valley
,referred_to,Family Literacy Center  801-426-9970
,referred_to,Family Support and Treatment  801-229-1181
,referred_to,Food & Care Coalition  801-373-1825
,referred_to,Forest Service
,referred_to,Friday Kid's Respite  801-494-9837
,referred_to,Gathering Place
,referred_to,Habitat for Humanity
,referred_to,Mountainland Headstart program  801-375-7981
,referred_to,Housing Authority
,referred_to,IHC
,referred_to,Kids Cause  801-224-2055
,referred_to,Kids on the Move  801-221-9930 (Eileen Chamberlain)
,referred_to,LDS Family Services  801-422-7620
,referred_to,"Lehi Literacy Center, 801-407-1025"
,referred_to,Mountainland Community Health  801-429-2000 (Lori Wright)
,referred_to,Neighbor. Housing of Provo  801-375-5820
,referred_to,Website
,referred_to,Parks & Recreation
,referred_to,Police Department
,referred_to,R.X. Connect
,referred_to,RAH! 801-374-8074
,referred_to,Rehabilitation Services  801-374-7724
,referred_to,RISE Inc.  801-373-1197
,referred_to,Reserve Senior Volunteer Program  801-229-3810
,referred_to,Rural Housing  Development
,referred_to,Senior Center
,referred_to,Division of Services for People with Disabilities  801-343-3900 (Dave Hennessey)
,referred_to,Social Security  800-772-1213
,referred_to,Tri Connections  801-343-3900
,referred_to,"Turning Point  801-863-7580 (childcare, GED)"
,referred_to,Utah County Health Department  801-851-7000
,referred_to,Utah Commision on Volunteers
,referred_to,Utah Legal Services (800) 662-4245
,referred_to,Utah State Developmental Center  801-763-4008
,referred_to,Utah State Hospital 801-763-4400
,referred_to,UW - other 801-374-2588
,referred_to,Intermountain Specialize Abuse
,referred_to,VITA-801-374-2588
,referred_to,Volunteers of America
,referred_to,Wasatch Mental Health  801-373-4760 (Adult services) 801-377-1213 (Children services)
,referred_to,WIC  801-851-7310
,referred_to,Juvenile Justice Services
,referred_to,Volunteer Care Clinic  801-812-8094
,referred_to,Paratransit  801-374-9306
,referred_to,ESL classes
,referred_to,BYU Center for Service & Learning 801-422-8686 (Access/Impact)
,referred_to,Medicaid 1-866-435-7414
,referred_to,"USU Extension  801-851-8479, 800-662-4245"
,referred_to,Access Utah Network  800-333-8824
,referred_to,Garrett Bardsley Foundation
,referred_to,Pregnancy Resource Center  801-221-2591
,referred_to,Utah Saves
,referred_to,Salt Lake 211
,referred_to,IRS
,referred_to,Vantage Point  801-373-2215
,referred_to,PCN  801-342-2600 (DWS)
,referred_to,CHIP  801-342-2600 (DWS)
,referred_to,House of Hope
,referred_to,Senior Companion Program  801-851-7767
,referred_to,Adult Protective Services
,referred_to,Foster Grandparent Program  801-851-7785
,referred_to,Boy Scouts of America  801-437-6222
,referred_to,Canary Gardens
,referred_to,Community Thrift and Relief
,referred_to,Special Olympics Utah
,referred_to,Midwives College
,referred_to,Institute for Cognitive Therapy
,referred_to,Health Clinics of Utah  801-374-7011
,referred_to,Project Read  801-852-6654
,referred_to,Utah Food Bank
,referred_to,Division of Services for the Blind
,referred_to,Special Needs Registry
,referred_to,Recovery Services  801-374-7233
,referred_to,Family Dental Plan
,referred_to,UVSC Dental Hygiene Clinic
,referred_to,The Road Home
,referred_to,Veteran's Center
,referred_to,Disability Law Center  801-363-1377
,referred_to,Arc of Utah  801-364-5056 (SLC)
,referred_to,Health Dept Prescription Discount Card  801-851-7000
,referred_to,Topham's Tiny Tots
,referred_to,National Multiple Sclerosis Society
,referred_to,Courage Reigns  801-362-0082 (Vicki Armstrong)
,referred_to,Center for High School Studies
,referred_to,ScenicView
,referred_to,PEIP  801-852-4525 (Beri)
,referred_to,Kids Who Count 801-423-3000 (Liz)
