New Name (search and replace)	Service Terms	
AAA Fair Credit Foundation	Financial Management Workshops	
Ability 1st Utah	Assistive Technology Information	
Ability 1st Utah	Specialized Information and Referral	
Ability Found	Assistive Technology Information	
ABLE-differently	Early Intervention for Children With Disabilities/Delays	
Allies with Families	Child Guidance	
Allies with Families	Mental Health Related Support Groups	
Allies with Families	Specialized Information and Referral	
Alpine School District	Developmental Assessment	
Alpine School District	Special Preschools	
Alpine School District	Speech and Language Evaluations/Services	
American Cancer Society - Great West Division	Health/Disability Related Support Groups	
Autism Council of Utah	Autism Therapy	
Autism Council of Utah	Disease/Disability Information	
Autism Council of Utah	Specialized Information and Referral	
Autism Journeys Treatment Center	Autism Therapy	
Autism Journeys Treatment Center	Parent Support Groups	
Baby Watch Early Intervention	Early Intervention for Children With Disabilities/Delays	
Boys and Girls Club	Child Care Centers	
Boys and Girls Club	Day Camps	
Boys and Girls Club	Extended Day Care	
Boys and Girls Club	Recreational Activities/Sports	
BYU Center for Service & Learning	Adult/Child Mentoring Programs	
BYU Center for Service & Learning	Tutoring Services	
BYU Comprehensive Clinic	Family Counseling	
BYU Comprehensive Clinic	Group Counseling	
BYU Comprehensive Clinic	Individual Counseling	
BYU Comprehensive Clinic	Mental Health Evaluation/Services	
BYU Comprehensive Clinic	Speech and Language Evaluations/Services	
BYU Law Help	Legal Counseling	
Canary Garden	Bereavement Support Groups	
Canyons School District	Developmental Assessment	
Canyons School District	Special Preschools	
Canyons School District	Speech and Language Evaluations/Services	
Catholic Community Services of Utah	Refugee Resettlement Services	
Center for Change	Eating Disorder Treatment	
Center for Women and Children in Crisis (CWCIC)	Abuse Counseling	
Center for Women and Children in Crisis (CWCIC)	Crisis Intervention	
Center for Women and Children in Crisis (CWCIC)	Domestic Violence Shelters	
Center for Women and Children in Crisis (CWCIC)	Parenting Skills Classes	
Centro de la Familia de Utah	Head Start	
Centro de la Familia de Utah	Literacy Programs	
Centro de la Familia de Utah	Specialized Information and Referral	
Centro de la Familia de Utah	Stepfamily/Blended Family Support Groups	
Centro Hispano	Parenting Skills Classes	
Centro Hispano	Specialized Information and Referral	
CHADD of Utah	Mental Health Related Support Groups	
Child And Family Support Center	Child Abuse Counseling	
Child And Family Support Center	Crisis Intervention	
Child And Family Support Center	Crisis Nurseries/Child Care	
Child And Family Support Center	Parenting Skills Classes	
Child And Family Support Center	Spouse/Domestic Partner Abuse Counseling	
Child Care Resource and Referral	Child Care Expense Assistance	
Child Care Resource and Referral	Child Care Provider Referrals	
Child Care Resource and Referral	Parenting Materials	
Child Care Resource and Referral	Specialized Information and Referral	
Children with Special Health Care Needs	Audiological Evaluations/Services	
Children with Special Health Care Needs	Autism Therapy	
Children with Special Health Care Needs	Developmental Assessment	
Children with Special Health Care Needs	Early Intervention for Children With Disabilities/Delays	
Children with Special Health Care Needs	Newborn Screening	
Children with Special Health Care Needs	Speech and Language Evaluations/Services	
Children's Justice Center	Child Abuse Prevention	
Children's Service Society of Utah	Adoption and Foster/Kinship Care Support Groups	
Children's Service Society of Utah	Adoption Services/Information	
Children's Service Society of Utah	Expectant/New Parent Assistance	
Children's Service Society of Utah	Parenting Skills Classes	
Clear Horizons Academy	Autism Therapy	
Clear Horizons Academy	Early Intervention for Children With Disabilities/Delays	
Cloth Diaper Utah	Diapers	
Community Action Services and Food Bank - Provo	Food Pantries	
Community Action Services and Food Bank - Provo	Utility Service Payment Assistance	
Community Health Connect	General Dentistry	
Comunidades Unidas	Disease/Disability Information	
Comunidades Unidas	Expectant/New Parent Assistance	
Comunidades Unidas	Prenatal Care	
Comunidades Unidas	Specialized Information and Referral	
Conscious Fathering	Parent Support Groups	
Courage Reins Therapeutic Riding Center	Equestrian Therapy	
DDI VANTAGE	Early Head Start	
DDI VANTAGE	Expectant/New Parent Assistance	
DDI VANTAGE	Prenatal Care	
DDI VANTAGE	Disability Related Parenting Programs	
DDI VANTAGE	Early Intervention for Children With Disabilities/Delays	
DDI VANTAGE	Home Based Parenting Education	
DDI VANTAGE	Special Preschools	
Department of Workforce Services	Bus Fare	
Department of Workforce Services	Food Stamps/SNAP	
Department of Workforce Services	General Relief	
Department of Workforce Services	Medicaid Applications	
Department of Workforce Services	Career Development	
Department of Workforce Services	Child Care Expense Assistance	
Deseret Industries	Baby Clothing/Supplies	
Deseret Industries	Maternity Clothing	
Discovery Gateway Children's Museum	Children's Museums	
Division Of Child And Family Services	Child Abuse Counseling	
Division Of Child And Family Services	Child Abuse Prevention	
Division Of Child And Family Services	Children's Protective Services	
Division Of Services For People With Disabilities	Assistive Technology Information	
Division of Services for the Blind and Visually Impaired - Provo	Disease/Disability Information	
Easter Seals-Goodwill Utah Service Center	Aquatic Therapy	
Easter Seals-Goodwill Utah Service Center	Autism Therapy	
Easter Seals-Goodwill Utah Service Center	Infant Massage	
Easter Seals-Goodwill Utah Service Center	Pediatric Occupational Therapy	
Easter Seals-Goodwill Utah Service Center	Speech and Language Evaluations/Services	
Epilepsy Association of Utah	Disease/Disability Information	
Epilepsy Association of Utah	Specialized Information and Referral	
Family Support And Treatment Center	Child Abuse Counseling	
Family Support And Treatment Center	Children's Respite Care	
Family Support And Treatment Center	Crisis Nurseries/Child Care	
Family Support And Treatment Center	Family Counseling	
Family Support And Treatment Center	Individual Counseling	
Family Support And Treatment Center	Marriage Counseling	
Family Support And Treatment Center	Parenting Skills Classes	
Family Support Center - Salt Lake	Anger Management	
Family Support Center - Salt Lake	Child Abuse Counseling	
Family Support Center - Salt Lake	Child Abuse Prevention	
Family Support Center - Salt Lake	Child Care Centers	
Family Support Center - Salt Lake	Children's Respite Care	
Family Support Center - Salt Lake	Crisis Nurseries/Child Care	
Family Support Center - Salt Lake	Family Counseling	
Family Support Center - Salt Lake	Home Based Parenting Education	
Family Support Center - Salt Lake	Individual Counseling	
Family Support Center - Salt Lake	Parenting Skills Classes	
Family Support Center - Salt Lake	Stepfamily/Blended Family Support Groups	
Family to Family Network	Health/Disability Related Support Groups	
Family to Family Network	Specialized Information and Referral	
Friday's Kids Respite	Children's Respite Care	
Friends for Sight	Vision Screening	
Grandfamilies of Utah County	Family Support Group	
Granite Peaks Lifelong Learning	Parenting Skills Classes	
Granite Peaks Lifelong Learning	Recreational Activities/Sports	
Granite Peaks Lifelong Learning	Special Education	
Granite School District	Developmental Assessment	
Granite School District	Developmental Assessment	
Granite School District	School District	
Granite School District	Special Preschools	
Granite School District	Special Preschools	
Granite School District	Speech and Language Evaluations/Services	
Granite School District	Speech and Language Evaluations/Services	
Health Clinics of Utah	Community Clinics	
Help Me Grow Utah	Parent Support Groups	
Holy Cross Ministries	Expectant/New Parent Assistance	
Holy Cross Ministries	Extended Day Care	
Holy Cross Ministries	Individual Counseling	
Holy Cross Ministries	Spouse/Domestic Partner Abuse Counseling	
Hoofbeats to Healing	Equestrian Therapy	
Hoofbeats to Healing	Equestrian Therapy	
House of Hope	Drug Abuse Treatment	
InfantSEE	Vision Screening	
Informational resources	Kindergarten Materials	
Informational resources	Military Resources	
Informational resources	Parenting Materials	
Informational resources	Preschool Information	
Intermountain Healthcare	Bereavement Support Groups	
Intermountain Healthcare	Nutrition Education	
Intermountain Healthcare	Parent Support Groups	
Intermountain Healthcare	Pediatric Occupational Therapy	
Intermountain Pediatric Rehabilitation	Audiological Evaluations/Services	
Intermountain Pediatric Rehabilitation	Pediatric Occupational Therapy	
Intermountain Pediatric Rehabilitation	Physical Therapy	
Intermountain Pediatric Rehabilitation	Speech and Language Evaluations/Services	
Intermountain Specialized Abuse Treatment Center	Anger Management	
Intermountain Specialized Abuse Treatment Center	Mental Health Evaluation/Services	
Intermountain Specialized Abuse Treatment Center	Spouse/Domestic Partner Abuse Counseling	
Jordan Child Development Center	Developmental Assessment	
Jordan Child Development Center	Early Intervention for Children With Disabilities/Delays	
Jordan Family Education Center	Anger Management	
Jordan Family Education Center	Bullying Prevention	
Jordan Family Education Center	Child Guidance	
Jordan Family Education Center	Library Services	
Jordan Family Education Center	Parent Support Groups	
Jordan Family Education Center	Parenting Skills Classes	
Jordan Family Education Center	Separation/Divorce Support Groups	
Jordan Family Education Center	Stepfamily/Blended Family Support Groups	
Jordan School District	School District	
Kids Cause	Audiological Evaluations/Services	
Kids Cause	Pediatric Dentistry	
Kids Cause	Vision Screening	
Kids on the Move	Audiological Evaluations/Services	
Kids on the Move	Autism Therapy	
Kids on the Move	Early Head Start	
Kids on the Move	Early Intervention for Children With Disabilities/Delays	
Kids on the Move	Library Services	
Kids Who Count	Developmental Assessment	
Kids Who Count	Early Intervention for Children With Disabilities/Delays	
Kids Who Count	Pediatric Occupational Therapy	
Kids Who Count	Speech and Language Evaluations/Services	
Kids Who Count	Vision Screening	
La Leche League of Utah	Breastfeeding Support Programs	
LDS Employment Services	Career Development	
LDS Family Services	Adoption Services/Information	
LDS Family Services	Family Counseling	
LDS Family Services	Pregnancy Counseling	
Legal Aid Society of Salt Lake	Divorce Assistance	
Legal Aid Society of Salt Lake	Domestic/Family Violence Legal Services	
Local City Government	Police Department	
Local City Government	Crime Victim Support	
Local City Government	Early Literacy Support	
Local City Government	Housing Authority	
Local City Government	Recreational Activities/Sports	
Local Library	Early Literacy Support	
Local Library	Early Literacy Support	
Local Library	Playgroups	
Local Library	Specialized Literacy Groups	
Mountainland Association of Governments	Specialized Information and Referral	
Mountainland Association of Governments	Utility Service Payment Assistance	
Mountainland Head Start  Provo	Head Start	
Mountainland Head Start Provo	Preschool Information	
Mountainlands Family Health Center	Community Clinics	
Mountainlands Family Health Center	General Dentistry	
Mountainlands Family Health Center	Immunizations	
Mountainlands Family Health Center	Individual Counseling	
Mountainlands Family Health Center	Well Baby Care	
Mountainstar Hospitals	Parent Support Groups	
Mountainstar Hospitals	Pediatric Occupational Therapy	
NAMI Utah	Mental Health Information/Education	
NAMI Utah	Mental Health Related Support Groups	
NAMI Utah	Specialized Information and Referral	
National Ability Center	Recreational Activities/Sports	
Nebo School District	Developmental Assessment	
Nebo School District	Parent Support Groups	
Nebo School District	Special Preschools	
Nebo School District	Speech and Language Evaluations/Services	
Now I Can Foundation	Early Intervention for Children With Disabilities/Delays	
Now I Can Foundation	Pediatric Occupational Therapy	
Now I Can Foundation	Physical Therapy	
Parents as Teachers	Home Based Parenting Education	
People Helping People	Career Development	
Pregnancy Resource Center	Baby Clothing/Supplies	
Pregnancy Resource Center	Parenting Skills Classes	
Pregnancy Resource Center of Salt Lake City	Baby Clothing/Supplies	
Pregnancy Resource Center of Salt Lake City	Maternity Clothing	
Pregnancy Resource Center of Salt Lake City	Postabortion Support Groups	
Pregnancy Resource Center of Salt Lake City	Pregnancy Counseling	
Pregnancy Resource Center of Salt Lake City	Pregnancy Testing	
Pregnancy Resource Center of Salt Lake City	Specialized Information and Referral	
Primary Children's Medical Center	Bereavement Support Groups	
Primary Children's Medical Center	Child Passenger Safety Seats Education	
Primary Children's Medical Center	Pediatric Dentistry	
Provo Early Intervention Program	Audiological Evaluations/Services	
Provo Early Intervention Program	Autism Therapy	
Provo Early Intervention Program	Early Head Start	
Provo Early Intervention Program	Early Intervention for Children With Disabilities/Delays	
Provo School District	Developmental Assessment	
Provo School District	School District	
Provo School District	Special Preschools	
Provo School District	Speech and Language Evaluations/Services	
Salt Lake City School District	Developmental Assessment	
Salt Lake City School District	School District	
Salt Lake City School District	Special Preschools	
Salt Lake City School District	Speech and Language Evaluations/Services	
Sanderson Community Center	Health/Disability Related Support Groups	
Sanderson Community Center	Interpretation/Translation	
Sanderson Community Center	Specialized Information and Referral	
Shriners Hospitals for Children - Salt Lake City	Cleft Lip/Palate Clinics	
Shriners Hospitals for Children - Salt Lake City	Pediatric Orthopedics	
South Franklin Community Center	Music Instruction	
